step_size, line_size, num_rrt_iterations, rrt_path_length, std_num_rrt_iterations
10,10,2613.4,193.3,957.535169067
10,30,3697.2,193.6,2473.92615537
10,50,4616.8,197.0,2201.82842202
10,70,7628.2,196.9,3917.45571626
10,90,7744.6,201.4,3822.01709979
10,110,6812.8,212.4,1693.78621241
10,130,8059.9,208.2,3757.66832106
10,150,8295.1,200.9,2753.96039873
10,170,9754.0,225.4,2998.46905381
10,190,13121.0,224.3,7186.55862628
